CACHE_BYTES,ASSOC,fMax,LUT (Used),LUT (Total),LUTAsLogic (Used),LUTAsLogic (Total),LUTAsMem (Used),LUTAsMem (Total),REG (Used),REG (Total),CARRY8 (Used),CARRY8 (Total),F7MUX (Used),F7MUX (Total),F8MUX (Used),F8MUX (Total),F9MUX (Used),F9MUX (Total),BRAM (Used),BRAM (Total),URAM (Used),URAM (Total),DSP (Used),DSP (Total),GLOBAL_CLOCK_BUFFERS (Used),GLOBAL_CLOCK_BUFFERS (Total),PLL (Used),PLL (Total),MMCM (Used),MMCM (Total),GTYE4_CHANNEL (Used),GTYE4_CHANNEL (Total),GTYE4_COMMON (Used),GTYE4_COMMON (Total),SLL_SLR2-SLR3 (Used),SLL_SLR2-SLR3 (Total),SLL_SLR3-SLR2 (Used),SLL_SLR3-SLR2 (Total),SLL_SLR1-SLR2 (Used),SLL_SLR1-SLR2 (Total),SLL_SLR2-SLR1 (Used),SLL_SLR2-SLR1 (Total),SLL_SLR0-SLR1 (Used),SLL_SLR0-SLR1 (Total),SLL_SLR1-SLR0 (Used),SLL_SLR1-SLR0 (Total),LUT_SLR0 (Used),LUT_SLR0 (Total),LUT_SLR1 (Used),LUT_SLR1 (Total),LUT_SLR2 (Used),LUT_SLR2 (Total),LUT_SLR3 (Used),LUT_SLR3 (Total),LUTAsLogic_SLR0 (Used),LUTAsLogic_SLR0 (Total),LUTAsLogic_SLR1 (Used),LUTAsLogic_SLR1 (Total),LUTAsLogic_SLR2 (Used),LUTAsLogic_SLR2 (Total),LUTAsLogic_SLR3 (Used),LUTAsLogic_SLR3 (Total),LUTAsMem_SLR0 (Used),LUTAsMem_SLR0 (Total),LUTAsMem_SLR1 (Used),LUTAsMem_SLR1 (Total),LUTAsMem_SLR2 (Used),LUTAsMem_SLR2 (Total),LUTAsMem_SLR3 (Used),LUTAsMem_SLR3 (Total),REG_SLR0 (Used),REG_SLR0 (Total),REG_SLR1 (Used),REG_SLR1 (Total),REG_SLR2 (Used),REG_SLR2 (Total),REG_SLR3 (Used),REG_SLR3 (Total),CARRY8_SLR0 (Used),CARRY8_SLR0 (Total),CARRY8_SLR1 (Used),CARRY8_SLR1 (Total),CARRY8_SLR2 (Used),CARRY8_SLR2 (Total),CARRY8_SLR3 (Used),CARRY8_SLR3 (Total),F7MUX_SLR0 (Used),F7MUX_SLR0 (Total),F7MUX_SLR1 (Used),F7MUX_SLR1 (Total),F7MUX_SLR2 (Used),F7MUX_SLR2 (Total),F7MUX_SLR3 (Used),F7MUX_SLR3 (Total),F8MUX_SLR0 (Used),F8MUX_SLR0 (Total),F8MUX_SLR1 (Used),F8MUX_SLR1 (Total),F8MUX_SLR2 (Used),F8MUX_SLR2 (Total),F8MUX_SLR3 (Used),F8MUX_SLR3 (Total),F9MUX_SLR0 (Used),F9MUX_SLR0 (Total),F9MUX_SLR1 (Used),F9MUX_SLR1 (Total),F9MUX_SLR2 (Used),F9MUX_SLR2 (Total),F9MUX_SLR3 (Used),F9MUX_SLR3 (Total),BRAM_SLR0 (Used),BRAM_SLR0 (Total),BRAM_SLR1 (Used),BRAM_SLR1 (Total),BRAM_SLR2 (Used),BRAM_SLR2 (Total),BRAM_SLR3 (Used),BRAM_SLR3 (Total),URAM_SLR0 (Used),URAM_SLR0 (Total),URAM_SLR1 (Used),URAM_SLR1 (Total),URAM_SLR2 (Used),URAM_SLR2 (Total),URAM_SLR3 (Used),URAM_SLR3 (Total),DSPs_SLR0 (Used),DSPs_SLR0 (Total),DSPs_SLR1 (Used),DSPs_SLR1 (Total),DSPs_SLR2 (Used),DSPs_SLR2 (Total),DSPs_SLR3 (Used),DSPs_SLR3 (Total)
4096,8,151.37753557372085,78697,1728000,78665,1728000,32,791040,58753,3456000,560,216000,7781,864000,2256,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,0,432000,78697,432000,0,432000,0,432000,0,432000,78665,432000,0,197760,0,197760,0,197760,32,197760,0,864000,0,864000,0,864000,58753,864000,0,54000,0,54000,0,54000,560,54000,0,216000,0,216000,0,216000,7781,216000,0,108000,0,108000,0,108000,2256,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,151.37753557372085,78697,1728000,78665,1728000,32,791040,58753,3456000,560,216000,7781,864000,2256,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,0,432000,78697,432000,0,432000,0,432000,0,432000,78665,432000,0,197760,0,197760,0,197760,32,197760,0,864000,0,864000,0,864000,58753,864000,0,54000,0,54000,0,54000,560,54000,0,216000,0,216000,0,216000,7781,216000,0,108000,0,108000,0,108000,2256,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,172.41379310344828,77046,1728000,77014,1728000,32,791040,58207,3456000,560,216000,7903,864000,1631,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,0,432000,77046,432000,0,432000,0,432000,0,432000,77014,432000,0,197760,0,197760,0,197760,32,197760,0,864000,0,864000,0,864000,58207,864000,0,54000,0,54000,0,54000,560,54000,0,216000,0,216000,0,216000,7903,216000,0,108000,0,108000,0,108000,1631,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,214.96130696474634,135650,1728000,135490,1728000,160,791040,51466,3456000,80,216000,15259,864000,539,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,135650,432000,0,432000,0,432000,0,432000,135490,432000,0,432000,0,432000,0,432000,160,197760,0,197760,0,197760,0,197760,51466,864000,0,864000,0,864000,0,864000,80,54000,0,54000,0,54000,0,54000,15259,216000,0,216000,0,216000,0,216000,539,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,215.93608291945583,134546,1728000,134386,1728000,160,791040,51057,3456000,80,216000,15279,864000,530,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,134546,432000,0,432000,0,432000,0,432000,134386,432000,0,432000,0,432000,0,197760,160,197760,0,197760,0,197760,0,864000,51057,864000,0,864000,0,864000,0,54000,80,54000,0,54000,0,54000,0,216000,15279,216000,0,216000,0,216000,0,108000,530,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,217.77003484320554,135673,1728000,135513,1728000,160,791040,51019,3456000,80,216000,15216,864000,524,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,135673,432000,0,432000,0,432000,0,432000,135513,432000,0,432000,0,432000,0,197760,160,197760,0,197760,0,197760,0,864000,51019,864000,0,864000,0,864000,0,54000,80,54000,0,54000,0,54000,0,216000,15216,216000,0,216000,0,216000,0,108000,524,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,208.59407592824363,133294,1728000,133134,1728000,160,791040,51053,3456000,80,216000,15216,864000,508,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,133294,432000,0,432000,0,432000,0,432000,133134,432000,0,432000,0,432000,0,197760,160,197760,0,197760,0,197760,0,864000,51053,864000,0,864000,0,864000,0,54000,80,54000,0,54000,0,54000,0,216000,15216,216000,0,216000,0,216000,0,108000,508,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,226.03978300180833,90405,1728000,90373,1728000,32,791040,50803,3456000,64,216000,15200,864000,532,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,90405,432000,0,432000,0,432000,0,432000,90373,432000,0,432000,0,432000,0,197760,32,197760,0,197760,0,197760,0,864000,50803,864000,0,864000,0,864000,0,54000,64,54000,0,54000,0,54000,0,216000,15200,216000,0,216000,0,216000,0,108000,532,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,222.76676319893073,88942,1728000,88910,1728000,32,791040,50240,3456000,64,216000,15104,864000,468,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,88942,432000,0,432000,0,432000,0,432000,88910,432000,0,432000,0,432000,0,197760,32,197760,0,197760,0,197760,0,864000,50240,864000,0,864000,0,864000,0,54000,64,54000,0,54000,0,54000,0,216000,15104,216000,0,216000,0,216000,0,108000,468,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,219.68365553602814,89055,1728000,89023,1728000,32,791040,49691,3456000,64,216000,14743,864000,398,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,89055,432000,0,432000,0,432000,0,432000,89023,432000,0,432000,0,432000,0,432000,32,197760,0,197760,0,197760,0,197760,49691,864000,0,864000,0,864000,0,864000,64,54000,0,54000,0,54000,0,54000,14743,216000,0,216000,0,216000,0,216000,398,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,219.68365553602814,89055,1728000,89023,1728000,32,791040,49691,3456000,64,216000,14743,864000,398,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,89055,432000,0,432000,0,432000,0,432000,89023,432000,0,432000,0,432000,0,432000,32,197760,0,197760,0,197760,0,197760,49691,864000,0,864000,0,864000,0,864000,64,54000,0,54000,0,54000,0,54000,14743,216000,0,216000,0,216000,0,216000,398,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,225.93764121102575,88920,1728000,88888,1728000,32,791040,49640,3456000,64,216000,15002,864000,516,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,88920,432000,0,432000,0,432000,0,432000,88888,432000,0,432000,0,432000,0,432000,32,197760,0,197760,0,197760,0,197760,49640,864000,0,864000,0,864000,0,864000,64,54000,0,54000,0,54000,0,54000,15002,216000,0,216000,0,216000,0,216000,516,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,219.8768689533861,89163,1728000,89131,1728000,32,791040,49651,3456000,64,216000,14711,864000,366,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,89163,432000,0,432000,0,432000,0,432000,89131,432000,0,432000,0,432000,0,432000,32,197760,0,197760,0,197760,0,197760,49651,864000,0,864000,0,864000,0,864000,64,54000,0,54000,0,54000,0,54000,14711,216000,0,216000,0,216000,0,216000,366,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,184.6381093057607,89168,1728000,89136,1728000,32,791040,49683,3456000,64,216000,14633,864000,321,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,89168,432000,0,432000,0,432000,0,432000,89136,432000,0,432000,0,432000,0,432000,32,197760,0,197760,0,197760,0,197760,49683,864000,0,864000,0,864000,0,864000,64,54000,0,54000,0,54000,0,54000,14633,216000,0,216000,0,216000,0,216000,321,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
